index,category,raw_category_x,nyuId,nyu40id,eigen13id,nyuClass,nyu40class,eigen13class,ModelNet40,ModelNet10,ShapeNetCore55,synsetoffset,wnsynsetid,wnsynsetkey,mpcat40index,mpcat40_x,raw_category_y,mpcat40_y
502,decorative plant,decorative plant,82.0,40,7.0,plant,otherprop,Objects,plant,,,,,,40.0,misc,dacorative plant,plant
503,decorative plate,decorative plate,383.0,40,7.0,decorative plate,otherprop,Objects,,,,,,,40.0,misc,decoartive plate,misc
504,decorative quilt,decorative quilt,575.0,40,7.0,quilt,otherprop,Objects,,,,,,,40.0,misc,decorative quilt,misc
505,decorative tray,decorative tray,179.0,40,,tray,otherprop,,,,,,,,,objects,,objects
506,decorative vase,decorative vase,78.0,40,,vase,otherprop,,,,,,,,,objects,,objects
507,decorative vessel,decorative vessel,263.0,40,,vessel,otherprop,,,,,,,,,objects,,objects
508,decorative window,decoration window,59.0,9,,window,window,,,,,,,,,misc,,misc
509,dehumidifier,dehumidifier,,40,,,otherprop,,,,,,,,,objects,,objects
510,den,den,,40,,,otherprop,,,,,,,,,misc,,misc
511,desk,desk,36.0,14,10.0,desk,desk,Table,desk,desk,table,4379243.0,n03179701,desk.n.01,5.0,table,desk,table
512,desk cabinet,desk cabinet,3.0,3,,cabinet,cabinet,,,,,,,,,cabinet,,cabinet
513,desk chair,desk chair,5.0,5,4.0,chair,chair,Chair,chair,chair,chair,3001627.0,n03001627,chair.n.01,3.0,chair,desk chair,chair
514,desk clutter,desk clutter,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,desk clutter,misc
515,desk door,desk door,28.0,8,12.0,door,door,Wall,door,,,,,,,cabinet,,cabinet
516,desk lamp,desk lamp,144.0,35,7.0,lamp,lamp,Objects,lamp,,lamp,3636649.0,n03636649,lamp.n.02,28.0,lighting,desk lamp,lighting
517,desk organizer,desk organizer,,40,,,otherprop,,,,,,,,,objects,,objects
518,detergent,detergents,501.0,40,,clothing detergent,otherprop,,,,,,,,,misc,,misc
519,detergent bottle,detergent bottle,500.0,40,,laundry detergent jug,otherprop,,,,,,,,,objects,,objects
520,device,device,,40,,,otherprop,,,,,,,,,misc,,misc
521,dining chair,dining chair,5.0,5,4.0,chair,chair,Chair,chair,chair,chair,3001627.0,n03001627,chair.n.01,3.0,chair,dining chair,chair
522,dining table,dining table,19.0,7,10.0,table,table,Table,table,table,table,4379243.0,n04379243,table.n.02,5.0,table,dining table,table
523,dinner chair,dinner chair,5.0,5,4.0,chair,chair,Chair,chair,chair,chair,,,,,chair,,chair
524,dinner table,dinner table,19.0,7,10.0,table,table,Table,table,table,table,4379243.0,n04379243,table.n.02,5.0,table,dinner table,table
525,dinnerware,dinnerware,,40,7.0,,otherprop,Objects,,,,,n03202622,dinnerware.n.01,39.0,objects,dinnerware,objects
526,diploma,diploma,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,diplom,misc
527,dirt ground,dirt ground,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,dirt ground,misc
528,dish,dish,733.0,40,,dishes,otherprop,,,,,,,,,objects,,objects
529,dish cabinet,dish cabinet,3.0,3,6.0,cabinet,cabinet,Furniture,,,cabinet,2933112.0,n02933112,cabinet.n.01,7.0,cabinet,dish cabinet,cabinet
530,dish dryer,dish dryer,,40,,,otherprop,,,,,,,,,appliances,,appliances
531,dish rack,dish rack,581.0,40,,dish rack,otherprop,,,,,,,,,objects,,objects
532,dishes,dishes,733.0,40,,dishes,otherprop,,,,,,,,,objects,,objects
533,dishrag,dishrag,,40,7.0,,otherprop,Objects,,,,,n03207743,dishrag.n.01,39.0,objects,dishrag,objects
534,dishwasher,dishwasher,8.0,38,7.0,dishwasher,otherstructure,Objects,,,dishwasher,3207941.0,n03207941,dishwasher.n.01,37.0,appliances,dish washer,appliances
535,dispenser,dispenser,,40,,,otherprop,,,,,,,,,objects,,objects
536,display,display,,40,7.0,,otherprop,Objects,,,,,n03211117,display.n.06,22.0,tv_monitor,display,tv_monitor
537,display cabinet,display cabinet,3.0,3,6.0,cabinet,cabinet,Furniture,,,cabinet,2933112.0,n02933112,cabinet.n.01,7.0,cabinet,display cabinet,cabinet
538,display case,display case,540.0,39,6.0,display case,otherfurniture,Furniture,,,,,n02975212,case.n.20,39.0,objects,display case,objects
539,display of pictures,display of pictures,64.0,11,,picture,picture,,,,,,,,,picture,,picture
540,display table,display table,19.0,7,10.0,table,table,Table,table,table,table,4379243.0,n04379243,table.n.02,5.0,table,display table,table
541,document,document,75.0,26,,file,paper,,,,,,,,,misc,,misc
542,document holder,document holder,410.0,40,,file holder,otherprop,,,,,,,,,objects,,objects
543,dog bed,dog bed,858.0,39,6.0,dog bed,otherfurniture,Furniture,bed,bed,bed,2818832.0,n02818832,bed.n.01,11.0,bed,dog bed,bed
544,dog leash,dog leash,,40,,,otherprop,,,,,,,,,misc,,misc
545,dog toy,dog toy,736.0,40,,dog toy,otherprop,,,,,,,,,objects,,objects
546,doily,doile,892.0,40,,doily,otherprop,,,,,,,,,misc,,misc
547,doll,doll,99.0,40,7.0,doll,otherprop,Objects,,,,,n03219135,doll.n.01,39.0,objects,doll,objects
548,door,door,28.0,8,12.0,door,door,Wall,door,,,,n03221720,door.n.01,4.0,door,door,door
549,door /otherroom,door / other room,28.0,8,12.0,door,door,Wall,door,,,,n03221720,door.n.01,4.0,door,door /otherroom,door
550,door cabinet,door cabinet,3.0,3,,cabinet,cabinet,,,,,,,,,cabinet,,cabinet
551,door frame,doorframe,615.0,8,12.0,door frame,door,Wall,door,,,,n03221720,door.n.01,4.0,door,door  frame,door
552,door handle,door handle,758.0,40,7.0,handle,otherprop,Objects,,,,,,,40.0,misc,door handle,misc
553,door hinge,door hinge,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,door  hinge,misc
554,door knob,door knob,27.0,40,7.0,door knob,otherprop,Objects,,,,,,,40.0,misc,door knob,misc
555,door screen,insect door,28.0,8,,door,door,,,,,,,,,door,,door
556,door stopper,door stopper,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,door stoper,misc
557,door window,door window,59.0,9,13.0,window,window,Window,,,,,,,40.0,misc,door window,misc
558,door/window,door / window,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,door/window,misc
559,door/window frame,door or window frame,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,door/window frame,misc
560,doorbell,doorbell,,40,,,otherprop,,,,,,,,,misc,,misc
561,doormat,door mat,143.0,20,5.0,floor mat,floor mat,Floor,,,,,n03223299,doormat.n.02,2.0,floor,door mat,floor
562,doorpost,door post,,40,7.0,,otherprop,Objects,,,,,n03222857,doorjamb.n.01,39.0,objects,doorpost,objects
563,doorstep,doorstep,28.0,8,12.0,door,door,Wall,,,,,n03223686,doorsill.n.01,39.0,objects,doorstep,objects
564,doorway,doorway,609.0,38,7.0,door way,otherstructure,Objects,door,,,,n03224032,doorway.n.01,4.0,door,doorway,door
565,double armchair,double armchair,5.0,5,,chair,chair,,,,,,,,,chair,,chair
566,drain,drain,567.0,40,,drain,otherprop,,,,,,,,,objects,,objects
567,drainage,drainage,567.0,40,,drain,otherprop,,,,,,,,,misc,,misc
568,drainpipe,drainpipe,567.0,40,,drain,otherprop,,,,,,,,,objects,,objects
569,draw,draw,,40,7.0,,otherprop,Objects,,,,,n09269882,draw.n.01,39.0,objects,draw,objects
570,drawer,drawers,174.0,39,6.0,drawer,otherfurniture,Furniture,,,,,n03233905,drawer.n.01,13.0,chest_of_drawers,drawer,chest_of_drawers
571,drawer cabinet,drawer cabinet,3.0,3,,cabinet,cabinet,,,,,,,,,cabinet,,cabinet
572,drawer cart,drawer cart,305.0,39,,cart,otherfurniture,,,,,,,,,objects,,objects
573,drawer desk,drawer desk,36.0,14,10.0,desk,desk,Table,desk,desk,,,,,40.0,misc,drawer desk,misc
574,drawer sink table,drawer sink table,19.0,7,10.0,table,table,Table,table,table,table,4379243.0,n04379243,table.n.02,5.0,table,drawer sink table,misc
575,drawers,drawers,174.0,39,6.0,drawer,otherfurniture,Furniture,,,,,,,,chest_of_drawers,,chest_of_drawers
576,drawers for clothes,drawers for clothes,141.0,21,7.0,clothes,clothes,Objects,,,,,,,40.0,misc,drawers for clothes,misc
577,drawing,drawing,,40,,,otherprop,,,,,,,,,misc,,misc
578,dress,dress,,40,7.0,,otherprop,Objects,,,,,n03236735,dress.n.01,38.0,clothes,dress,clothes
579,dresser,dresser,169.0,17,6.0,dresser,dresser,Furniture,dresser,dresser,,,n03015254,chest_of_drawers.n.01,13.0,chest_of_drawers,dreser,chest_of_drawers
580,dressing table,dressing table,19.0,7,10.0,table,table,Table,table,table,table,4379243.0,n03238586,dressing_table.n.01,5.0,table,dressing table,table
581,dried flowers,dried flowers,81.0,40,,flower,otherprop,,,,,,,,,objects,,objects
582,drill,drill,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,drill,misc
583,drinking fountain,drinking fountain,,40,7.0,,otherprop,Objects,,,,,n03241335,drinking_fountain.n.01,40.0,misc,public tap,misc
584,drum,drums,145.0,40,7.0,drum,otherprop,Objects,,,,,n03249569,drum.n.01,39.0,objects,drum,objects
585,drywall board,drywall board,408.0,40,,board,otherprop,,,,,,,,,misc,,misc
586,duct,duct,,40,7.0,,otherprop,Objects,,,,,n03253398,duct.n.03,40.0,misc,duct,misc
587,dumbbell,dumbbells,,40,7.0,,otherprop,Objects,,,,,n03255030,dumbbell.n.01,33.0,gym_equipment,dumb bell,gym_equipment
588,dustbin,dushbin,307.0,40,7.0,bin,otherprop,Objects,,,trash_bin,2747177.0,n02747177,ashcan.n.01,39.0,objects,dust bin,objects
589,dustpan,dustpan,,40,7.0,,otherprop,Objects,,,,,n03259009,dustpan.n.02,39.0,objects,dustpan,objects
590,duvet,duvet,484.0,40,,comforter,otherprop,,,,,,,,,misc,,misc
591,dvd,dvd,197.0,40,,dvd,otherprop,,,,,,,,,objects,,objects
592,dvd player,dvd player,170.0,40,,dvd player,otherprop,,,,,,,,,objects,,objects
593,easel,easel,50.0,39,6.0,stand,otherfurniture,Furniture,,,,,n03262809,easel.n.01,31.0,shelving,easel,shelving
594,easy chair,easy chair,5.0,5,4.0,chair,chair,Chair,chair,chair,chair,3001627.0,n03262932,easy_chair.n.01,3.0,chair,easy chair,chair
595,electric box,electric box,550.0,38,7.0,electric box,otherstructure,Objects,,,,,,,40.0,misc,electric box,misc
596,electric cable,electric cable,92.0,40,,wire,otherprop,,,,,,,,,misc,,misc
597,electric cord,electric cord,92.0,40,,wire,otherprop,,,,,,,,,misc,,misc
598,electric device,electric device,,40,,,otherprop,,,,,,,,,misc,,misc
599,electric drum,electric drums,816.0,40,,electronic drumset,otherprop,,,,,,,,,objects,,objects
600,electric freshener,electric freshener,,40,,,otherprop,,,,,,,,,appliances,,appliances
601,electric guitar,electric guitar,300.0,40,,guitar,otherprop,,,,,,,,,objects,,objects
602,electric heater,electric heater,111.0,39,,heater,otherfurniture,,,,,,,,,appliances,,appliances
603,electric hub,electric hub,,40,,,otherprop,,,,,,,,,objects,,objects
604,electric installation,electric installation,,38,,,otherstructure,,,,,,,,,misc,,misc
605,electric kettle,electric kettle,738.0,40,,electrical kettle,otherprop,,,,,,,,,appliances,,appliances
606,electric outlet,electric outlet,98.0,40,7.0,electrical outlet,otherprop,Objects,,,,,n04548771,wall_socket.n.01,39.0,objects,electric outlet,objects
607,electric percussion,electric percussion,816.0,40,,electronic drumset,otherprop,,,,,,,,,appliances,,appliances
608,electric plug,electric plug,,40,,,otherprop,,,,,,,,,objects,,objects
609,electric toothbrush,electric toothbrush,142.0,40,,electric toothbrush,otherprop,,,,,,,,,appliances,,appliances
610,electric wire,electric wire,92.0,40,,wire,otherprop,,,,,,,,,misc,,misc
611,electric wire casing,electric wire casing,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,electric wire casing,misc
612,electrical box,electrical box,26.0,29,7.0,box,box,Objects,,,,,n03034244,circuit_breaker.n.01,39.0,objects,electrical box,objects
613,electrical controller,electrical controller,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,electrical controller,misc
614,electrical device,electrical device,,40,,,otherprop,,,,,,,,,misc,,misc
615,electrical installation,electrical installation,,38,,,otherstructure,,,,,,,,,misc,,misc
616,electrical switchboard,electrical switchboard,550.0,40,,electric box,otherprop,,,,,,,,,misc,,misc
617,electricity box,electricity box,550.0,40,,electric box,otherprop,,,,,,,,,misc,,misc
618,electronics,electronics,,40,,,otherprop,,,,,,,,,misc,,misc
619,elephant sculpture,elephant sculpture,294.0,40,7.0,sculpture,otherprop,Objects,,,,,,,40.0,misc,elephant sculpture,misc
620,elevator,elevator,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,elevator,misc
621,elevator door,elevator door,28.0,8,12.0,door,door,Wall,door,,,,,,,door,,door
622,emergency sign,emergency sign,208.0,40,,sign,otherprop,,,,,,,,,misc,,misc
623,end table,end table,19.0,7,10.0,table,table,Table,table,table,table,4379243.0,n04379243,table.n.02,5.0,table,end table,table
624,entertainment set,entertainment set,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,entertainment set,misc
625,entrance arch,entrance arch,686.0,38,,door way arch,otherstructure,,,,,,,,,misc,,misc
626,entry phone,entry phone,32.0,40,,telephone,otherprop,,,,,,,,,objects,,objects
627,exercise ball,exercise ball,155.0,40,7.0,excercise ball,otherprop,Objects,,,,,n04285146,sports_equipment.n.01,33.0,gym_equipment,excersie ball,gym_equipment
628,exercise bike,exercise bike,457.0,39,6.0,excercise equipment,otherfurniture,Furniture,,,,,n03302671,exercise_bike.n.01,33.0,gym_equipment,exercise bike,gym_equipment
629,exercise equipment,weight machine,457.0,39,6.0,excercise equipment,otherfurniture,Furniture,,,,,n04285146,sports_equipment.n.01,33.0,gym_equipment,excersie equipment,gym_equipment
630,exercise ladder,exercise ladder,457.0,39,6.0,excercise equipment,otherfurniture,Furniture,,,,,,,,gym_equipment,,gym_equipment
631,exercise machine,rowing machine,457.0,39,6.0,excercise equipment,otherfurniture,Furniture,,,,,,,40.0,misc,exercise machine,misc
632,exercise mat,exercise mat,143.0,20,5.0,floor mat,floor mat,Floor,,,,,n03727946,mat.n.03,33.0,gym_equipment,excercise mat,gym_equipment
633,exercise mat roll,exercise mat roll,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,exercise mat roll,misc
634,exercising blocks,exercising blocks,457.0,40,7.0,excercise equipment,otherprop,Objects,,,,,,,,gym_equipment,,gym_equipment
635,exhaust pipe,exhaust pipe,41.0,40,7.0,pipe,otherprop,Objects,,,,,n03303510,exhaust_pipe.n.01,40.0,misc,exhaust pipe,misc
636,exhibition panel,exhibition panel,444.0,40,,display board,otherprop,,,,,,,,,misc,,misc
637,exhibition picture,exhibition picture,64.0,11,,picture,picture,,,,,,,,,picture,,picture
638,exhibition table,exhibition table,19.0,7,,table,table,,,,,,,,,table,,table
639,exhibition window,exhibition window,59.0,9,,window,window,,,,,,,,,window,,window
640,exhibition window frame,exhibition window frame,477.0,9,,window frame,window,,,,,,,,,window,,window
641,exit sign,exit sign,86.0,40,7.0,exit sign,otherprop,Objects,,,,,,,40.0,misc,exit sign,misc
642,extension cord,extension cord,92.0,40,,wire,otherprop,,,,,,,,,misc,,misc
643,extension lead,extension lead,92.0,40,,wire,otherprop,,,,,,,,,misc,,misc
644,extractor,extractor,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,extractor,misc
645,extractor hood,extractor hood,380.0,39,,range hood,otherfurniture,,,,,,,,,misc,,misc
646,eyeglasses,eyeglasses,335.0,40,,eye glasses,otherprop,,,,,,,,,objects,,objects
647,fan,fan,74.0,40,7.0,fan,otherprop,Objects,,,,,n03320046,fan.n.01,39.0,objects,fan,objects
648,fan air vent,fan air vent,25.0,40,,air vent,otherprop,,,,,,,,,misc,,misc
649,fan coil,fan-coil,74.0,40,,fan,otherprop,,,,,,,,,objects,,objects
650,faucet,faucet,9.0,40,7.0,faucet,otherprop,Objects,,,faucet,3325088.0,n03325088,faucet.n.01,39.0,objects,faucet,objects
651,fence,fence,,38,7.0,,otherstructure,Objects,,,,,n03327234,fence.n.01,40.0,misc,fence,misc
652,figure,figure,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,figure,misc
653,figurine,figurine,836.0,40,,figurine,otherprop,,,,,,,,,misc,,misc
654,file,file,75.0,26,,file,paper,,,,,,,,,misc,,misc
655,file binder,file binder,399.0,40,,binder,otherprop,,,,,,,,,misc,,misc
656,file cabinet,file cabinet,3.0,3,6.0,cabinet,cabinet,Furniture,,,cabinet,2933112.0,n02933112,cabinet.n.01,7.0,cabinet,file cabinet,cabinet
657,fire alarm,firealarm,338.0,40,7.0,fire alarm,otherprop,Objects,,,,,n03343737,fire_alarm.n.02,39.0,objects,fire alarm,objects
658,fire detector,fire detector,,40,,,otherprop,,,,,,,,,objects,,objects
659,fire extinguisher,fire extinguisher,10.0,40,7.0,fire extinguisher,otherprop,Objects,,,,,n03345837,fire_extinguisher.n.01,39.0,objects,extinguisher,objects
660,fire pit,fire pit,,40,7.0,,otherprop,Objects,,,,,n09280113,fire_pit.n.01,39.0,objects,fire pit,objects
661,fire screen,fire screen,,40,7.0,,otherprop,Objects,,,,,n03347037,fire_screen.n.01,39.0,objects,fire screen,objects
662,fire sprinkler,fire sprinkler,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,fire sprinkler,misc
663,firebox,firebox,26.0,29,,box,box,,,,,,,,,objects,,objects
664,fireplace,fireplace,372.0,38,7.0,fireplace,otherstructure,Objects,,,,,n03346455,fireplace.n.01,27.0,fireplace,fireplace,fireplace
665,fireplace brush,fireplace brush,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,fireplace brush,misc
666,fireplace floor,fireplace floor,11.0,2,5.0,floor,floor,Floor,,,,,,,,misc,,misc
667,fireplace mirror,fireplace mirror,122.0,19,7.0,mirror,mirror,Objects,,,,,,,40.0,misc,fireplace mirror,misc
668,fireplace sconce,fireplace sconce,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,fireplace sconce,misc
669,fireplace shelf,fireplace shelf,372.0,29,,fireplace,box,,,,,,,,,misc,,misc
670,fireplace tool set,fireplace tool set,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,fireplace tool set,misc
671,fireplace utensil,fireplace utensils,267.0,40,7.0,utensil,otherprop,Objects,,,,,,,40.0,misc,fireplace utensil,misc
672,fireplace wall,fireplace wall,21.0,1,12.0,wall,wall,Wall,,,,,,,40.0,misc,fireplace wall,misc
673,firewood,logs,,40,7.0,,otherprop,Objects,,,,,n15100644,firewood.n.01,40.0,misc,firewood,misc
674,firewood bag,firewood bag,55.0,37,,bag,bag,,,,,,,,,misc,,misc
675,firewood chest,firewood chest,344.0,39,,chest,otherfurniture,,,,,,,,,misc,,misc
676,firewood holder,firewood holder,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,firewood holder,misc
677,fish tank,fish tank,782.0,38,7.0,fish tank,otherstructure,Objects,,,,,n02732072,aquarium.n.01,40.0,misc,fish tank,misc
678,fishing pole,fishing pole,,40,,,otherprop,,,,,,,,,misc,,misc
679,fishing rod,fishing rod,,40,,,otherprop,,,,,,,,,misc,,misc
680,fitness ball,fitness ball,155.0,40,,excercise ball,otherprop,,,,,,,,,gym_equipment,,gym_equipment
681,flag,flag,405.0,40,7.0,flag,otherprop,Objects,,,,,,,40.0,misc,flag,misc
682,flashlight,flashlight,666.0,40,,flashlight,otherprop,,,,,,,,,objects,,objects
683,flatware,tableware,733.0,40,,dishes,otherprop,,,,,,,,,objects,,objects
684,floor,floor,11.0,2,5.0,floor,floor,Floor,,,,,n03365592,floor.n.01,2.0,floor,floer,floor
685,floor /otherroom,floor behind,11.0,2,5.0,floor,floor,Floor,,,,,n03365592,floor.n.01,2.0,floor,floor /otherroom,floor
686,floor /outside,floor outside,11.0,2,5.0,floor,floor,Floor,,,,,n03365592,floor.n.01,2.0,floor,floor /outside,floor
687,floor frame,foor frame,11.0,2,,floor,floor,,,,,,,,,floor,,floor
688,floor lamp,floor lamp,144.0,35,7.0,lamp,lamp,Objects,lamp,,lamp,3636649.0,n03367059,floor_lamp.n.01,28.0,lighting,floor  lamp,lighting
689,floor mat,floor mat,143.0,20,5.0,floor mat,floor mat,Floor,,,,,n03727837,mat.n.01,2.0,floor,floor  mat,floor
690,floor stand,floor stand,50.0,39,6.0,stand,otherfurniture,Furniture,,,,,,,40.0,misc,floor stand,misc
691,floor vent,floor  vent,25.0,2,,air vent,floor,,,,,,,,,misc,,misc
692,flower,flower,81.0,40,,flower,otherprop,,,,,,,,,plant,,plant
693,flower stand,flowerstand,50.0,39,6.0,stand,otherfurniture,Furniture,,,,,,,40.0,misc,flower stand,misc
694,flower vase,flower wash,78.0,40,7.0,vase,otherprop,Objects,vase,,jar,3593526.0,n04522168,vase.n.01,39.0,objects,flower  vase,objects
695,flowerbed,flowerbed,157.0,4,1.0,bed,bed,Bed,bed,bed,,,n03368352,flowerbed.n.01,39.0,objects,flowerbed,objects
696,flowerpot,flowerpot,146.0,40,7.0,flower pot,otherprop,Objects,flower_pot,,flower pot,3991062.0,n03991062,pot.n.04,39.0,objects,flower pot,objects
697,flowers,flowers,81.0,40,,flower,otherprop,,,,,,,,,plant,,plant
698,fluorescent light,fluorescent light,62.0,38,7.0,light,otherstructure,Objects,,,,,,,40.0,misc,fluorescent light,misc
699,flush,flush,124.0,33,,toilet,toilet,,,,,,,,,misc,,misc
700,flush button,flush button,124.0,33,,toilet,toilet,,,,,,,,,misc,,misc
701,flush push,flush push,124.0,33,,toilet,toilet,,,,,,,,,misc,,misc
702,foam,unknown/ probably foam,,40,,,otherprop,,,,,,,,,misc,,misc
703,folded chair,folded chair,5.0,5,,chair,chair,,,,,,,,,chair,,chair
704,folded table,folded table,19.0,7,,table,table,,,,,,,,,table,,table
705,folder,folders,69.0,40,7.0,folder,otherprop,Objects,,,,,n03376279,folder.n.02,39.0,objects,folder,objects
706,folding chair,folding chair,5.0,5,4.0,chair,chair,Chair,chair,chair,chair,3001627.0,n03376595,folding_chair.n.01,3.0,chair,folding chair,chair
707,folding stand,folding stand,50.0,39,6.0,stand,otherfurniture,Furniture,,,,,,,40.0,misc,folding stand,misc
708,food,food,,40,7.0,,otherprop,Objects,,,,,n00021265,food.n.01,40.0,misc,food,misc
709,food processor,food processor,715.0,40,,food processor,otherprop,,,,,,,,,appliances,,appliances
710,food stand,foodstand,50.0,39,6.0,stand,otherfurniture,Furniture,,,,,,,40.0,misc,food stand,misc
711,food tray,foodtray,179.0,40,7.0,tray,otherprop,Objects,,,,,n04476259,tray.n.01,39.0,objects,food tray,objects
712,foosball game table,foosball game table,19.0,7,10.0,table,table,Table,table,table,table,4379243.0,n04379243,table.n.02,5.0,table,foosball game table,table
713,foosball table,foosball table,510.0,39,6.0,foosball table,otherfurniture,Furniture,table,table,table,4379243.0,n04379243,table.n.02,5.0,table,foosball table,table
714,foot spa,foot spa,,40,,,otherprop,,,,,,,,,misc,,misc
715,foot stand,foot stand,50.0,39,6.0,stand,otherfurniture,Furniture,,,,,,,40.0,misc,foot stand,misc
716,football,football,166.0,40,,football,otherprop,,,,,,,,,objects,,objects
717,footrest,footrest,163.0,39,6.0,foot rest,otherfurniture,Furniture,stool,,,,n03380724,footstool.n.01,19.0,stool,foot rest,stool
718,footstool,footstool,359.0,39,6.0,ottoman,otherfurniture,Furniture,stool,,,,n03380724,footstool.n.01,19.0,stool,footstool,stool
719,fork,fork,349.0,40,,fork,otherprop,,,,,,,,,objects,,objects
720,frame,frame,,38,7.0,,otherstructure,Objects,,,,,,,40.0,misc,fframe,misc
721,framed text,framed text,,40,,,otherprop,,,,,,,,,misc,,misc
722,freezer,freezer,17.0,24,6.0,refridgerator,refridgerator,Furniture,,,,,n03170635,deep-freeze.n.01,37.0,appliances,freezer,appliances
723,fruit,fruits,286.0,40,7.0,fruit,otherprop,Objects,,,,,n13134947,fruit.n.01,39.0,objects,fruit,objects
724,fruit bowl,fruit bowl,22.0,40,7.0,bowl,otherprop,Objects,bowl,,bowl,2880940.0,n02880940,bowl.n.03,39.0,objects,fruit bowl,objects
725,frying pan,frying pan,318.0,40,,frying pan,otherprop,,,,,,,,,objects,,objects
726,fume cupboard,fume cupboard,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,fume cupboard,misc
727,fur,fur,,40,,,otherprop,,,,,,,,,misc,,misc
728,fur carpet,fur carpet,130.0,20,,rug,floor mat,,,,,,,,,floor,,floor
729,furnace,furnace,551.0,39,6.0,furnace,otherfurniture,Furniture,,,,,n03404449,furnace.n.01,40.0,misc,furnace,misc
730,furniture,furniture,524.0,39,6.0,furniture,otherfurniture,Furniture,,,,,n03405725,furniture.n.01,36.0,furniture,furniture,furniture
731,fuse box,fuse box,26.0,29,7.0,box,box,Objects,,,,,,,40.0,misc,fuse box,misc
732,fuse panel,fuse panel,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,fuse panel,misc
733,game,tabletop games,429.0,40,,game table,otherprop,,,,,,,,,objects,,objects
734,game board,game board,429.0,40,,game table,otherprop,,,,,,,,,objects,,objects
735,game console,game console,518.0,40,,console system,otherprop,,,,,,,,,objects,,objects
736,gap,gap,,40,7.0,,otherprop,Objects,,,,,n09249034,col.n.01,39.0,objects,gap,objects
737,garage door,garage door,850.0,38,7.0,garage door,otherstructure,Objects,door,,,,,,4.0,door,garage door,door
738,garage door frame,garage door frame,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,garage door frame,misc
739,garage door motor,garage door motor,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,garage door motor,misc
740,garage door opener,garage door opener,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,garage door opener,misc
741,garage door opener bar,garage door opener bar,51.0,38,7.0,bar,otherstructure,Objects,,,,,,,40.0,misc,garage door opener bar,misc
742,garage door opener motor,garage door opener motor,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,garage door opener motor,misc
743,garage door opener railing,garage door opener railing,497.0,38,7.0,railing,otherstructure,Objects,,,,,,,,misc,,misc
744,garage door railing,garage door railing,497.0,38,7.0,railing,otherstructure,Objects,,,,,,,40.0,misc,garage door railing,misc
745,garage light,garage light,62.0,38,7.0,light,otherstructure,Objects,,,,,,,40.0,misc,garage light,misc
746,garden bench,garden bench,204.0,5,,bench,chair,,,,,,,,,seating,,seating
747,garden chair,garden chair,5.0,5,,chair,chair,,,,,,,,,chair,,chair
748,garden deck,garden deck,,38,,,otherstructure,,,,,,,,,misc,,misc
749,gas box,gas box,26.0,29,,box,box,,,,,,,,,objects,,objects
750,gas container,gas container,140.0,40,,container,otherprop,,,,,,,,,objects,,objects
751,gas furnace,gas furnace,551.0,39,,furnace,otherfurniture,,,,,,,,,appliances,,appliances
752,gas meter,gas meter,,40,,,otherprop,,,,,,,,,misc,,misc
753,gate,gate,223.0,38,7.0,gate,otherstructure,Objects,,,,,n03427296,gate.n.01,40.0,misc,gate,misc
754,gauge,gauge,,40,,,otherprop,,,,,,,,,misc,,misc
755,gift,gift,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,gift,misc
756,glass,glass,612.0,38,7.0,glass,otherstructure,Objects,,,,,n03438257,glass.n.02,39.0,objects,glass,objects
757,glass container,glass container,636.0,40,,glass container,otherprop,,,,,,,,,objects,,objects
758,glass door,glass door,28.0,8,12.0,door,door,Wall,door,,,,,,,door,,door
759,glass pane,glass pane,412.0,40,,glass pane,otherprop,,,,,,,,,misc,,misc
760,glasses,glasses,335.0,40,,eye glasses,otherprop,,,,,,,,,objects,,objects
761,globe,globe,347.0,40,7.0,globe,otherprop,Objects,,,,,,,40.0,misc,globe,misc
